DBN,School,NumberStudents,ReadingMean,MathMean,WritingMean
26,BENJAMIN CARDOZO HIGH SCHOOL ,697,486,551,492
26,FRANCIS LEWIS HIGH SCHOOL ,808,457,530,454
26,MARTIN VAN BUREN HIGH SCHOOL ,343,402,411,398
26,BAYSIDE HIGH SCHOOL ,732,472,531,467
26,Queens High School-Teaching Liberal Arts Sciences ,144,438,455,433
27,FREDERICK DOUGLASS ACADEMY VI ,65,393,390,387
27,CHANNEL VIEW SCHOOL FOR RESEARCH ,63,455,423,420
27,AUGUST MARTIN HIGH SCHOOL ,102,377,372,362
27,BEACH CHANNEL HIGH SCHOOL ,114,393,390,380
27,FAR ROCKAWAY HIGH SCHOOL ,31,350,369,360
27,RICHMOND HILL HIGH SCHOOL ,397,380,401,380
27,JOHN ADAMS HIGH SCHOOL ,302,399,424,404
28,SATELLITE ACADEMY ,22,346,351,338
28,FOREST HILLS HIGH SCHOOL ,627,468,491,462
28,JAMAICA HIGH SCHOOL ,153,393,400,391
28,HILLCREST HIGH SCHOOL ,498,385,400,385
28,Thomas Edison Vocational-Technical High School ,529,455,490,439
28,Queens Gateway to Health Sciences Secondary Schoo ,89,525,532,515
28,QUEENS HS FOR SCIENCE YORK COL ,99,613,650,612
28,High School For Law Enforcement And Public Safety ,62,408,429,412
29,QUEENS PREPARATORY ACADEMY ,46,372,388,381
29,PATHWAYS COLLEGE PREPARATORY SCHOOL ,42,406,415,394
29,EXCELSIOR PREPARATORY HIGH SCHOOL ,55,394,358,388
29,GEORGE WASHINGTON CARVER HS ,68,425,435,418
29,PREPARATORY ACADEMY FOR WRITERS ,18,413,402,388
29,Springfield Gardens High School ,20,429,402,403
29,MATH SCIENCE RESEARCH TECH MAG ,59,405,430,405
29,LAW GOVERNMENT SERVICE MAGNET ,60,406,412,391
29,BUSINESS COMPUTER APPLICATION ,52,388,389,380
29,Humanities and Arts Magnet High School ,45,383,371,370
30,WILLIAM C BRYANT HIGH SCHOOL ,322,405,456,408
30,LONG ISLAND CITY HIGH SCHOOL ,296,418,434,408
30,Frank Sinatra School of the Arts ,153,506,495,499
30,INFORMATION TECHNOLOGY HIGH SCHOOL ,140,440,452,424
30,NEWCOMERS HIGH SCHOOL ,147,343,447,346
30,ACADEMY OF AMERICAN STUDIES ,120,502,505,515
30,BACCALAUREATE SCH GLOBAL EDUC ,64,560,587,570
31,MICHAEL J PETRIDES SCHOOL ,86,508,523,502
31,NEW DORP HIGH SCHOOL ,282,431,446,434
31,PORT RICHMOND HIGH SCHOOL ,237,437,442,425
31,CURTIS HIGH SCHOOL ,373,439,441,430
31,TOTTENVILLE HIGH SCHOOL ,698,459,482,467
31,SUSAN E WAGNER HIGH SCHOOL ,531,463,482,457
31,CONCORD HIGH SCHOOL ,10,474,431,397
31,RALPH MCKEE VOC-TECH HIGH SCH ,48,411,429,386
31,STATEN ISLAND TECHNICAL HIGH SCHOOL ,287,638,673,617
32,ACADEMY OF ENVIRONMENTAL LEADERSHIP ,36,382,369,374
32,EBC High School for Public Service - Bushwick ,82,389,390,376
32,BUSHWICK HS FOR SOCIAL JUSTICE ,72,363,364,358
32,Academy of Urban Planning ,49,355,361,353
32,ALL CITY LEADERSHIP SECONDARY ,29,394,420,395
32,Bushwick Leaders High School for Academic Excel ,30,357,345,351
